question_kr,age_kr,gender,pct_sd,pct_d,pct_n,pct_a,pct_sa,keyword_kr
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",60대,남성,0.9800,1.3900,3.1100,38.2600,56.2800,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",70대 이상,남성,0.0000,0.8800,3.2400,49.0100,46.8700,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",20대,여성,0.4500,4.0800,27.2900,49.8300,18.3500,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",30대,여성,2.2500,3.5700,25.5200,42.9600,25.6900,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",40대,여성,0.0000,1.5400,20.1700,43.9400,34.3500,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",50대,여성,0.3300,2.6900,10.6700,52.4200,33.8900,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",60대,여성,0.0000,0.6600,2.7300,45.5300,51.0800,"공감 헤모글로빈"
"우리는 다음 세대에 살기 좋은 세상을 물려주어야 한다.",70대 이상,여성,0.0000,0.0000,3.4400,46.0100,50.5400,"공감 헤모글로빈"
"아이를 갖는 것은 사회에 대한 의무다.",20대,남성,19.8900,25.2600,30.8600,15.3100,8.6800,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",30대,남성,19.2000,30.3300,30.9900,15.2400,4.2400,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",40대,남성,8.5300,25.5800,34.3600,28.1900,3.3300,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",50대,남성,5.6800,18.6600,39.9700,27.5900,8.0900,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",60대,남성,3.3400,11.2100,17.8100,45.8700,21.7900,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",70대 이상,남성,0.8700,11.0600,7.0300,54.5000,26.5400,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",20대,여성,43.0900,29.1600,17.5100,6.6300,3.6000,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",30대,여성,35.8400,33.7600,20.8300,8.6900,0.8800,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",40대,여성,19.2500,37.4400,34.0500,8.0800,1.1900,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",50대,여성,11.4300,32.8300,35.9900,16.4100,3.3400,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",60대,여성,2.7300,18.7600,23.7200,36.2000,18.5900,"정체성 단백"
"아이를 갖는 것은 사회에 대한 의무다.",70대 이상,여성,0.4300,13.5800,16.1500,48.2200,21.6200,"정체성 단백"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",20대,남성,2.0800,9.0900,32.6100,38.1700,18.0500,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",30대,남성,3.0000,11.5400,30.8700,39.9100,14.6800,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",40대,남성,1.4700,4.7800,29.6000,49.6800,14.4600,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",50대,남성,0.3100,4.7300,20.7200,59.5900,14.6500,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",60대,남성,1.2000,6.7900,7.9200,47.9400,36.1500,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",70대 이상,남성,1.6600,4.2100,9.7100,59.4000,25.0100,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",20대,여성,2.2100,5.8700,28.8000,50.9400,12.1800,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",30대,여성,0.9000,7.3000,32.5300,44.0500,15.2300,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",40대,여성,1.1700,4.2500,28.6500,55.4900,10.4500,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",50대,여성,0.0000,6.0800,18.1200,60.0600,15.7400,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",60대,여성,0.3500,6.4800,11.7000,49.0900,32.3800,"공감 헤모글로빈"
"모든 사람들이 동등한 대우를 받는지 따져보는 것은 중요하다.",70대 이상,여성,0.0000,5.8200,14.3800,55.1200,24.6900,"공감 헤모글로빈"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",20대,남성,9.0700,21.4300,34.3000,18.6500,16.5500,"우열 수용체"
"동성애자나 외국인노동자, 장애인 등 사회적 약자와 소수자를 보호하고자 하는 사람들의 도덕적 우월감에 불편함을 느낀다.",30대,남성,6.6700,22.5900,33.3300,23.3800,14.0200,"우열 수용체"
